,c,t,ne,Te
411,4388.0,91146,11742.828405634278,9877.77100085427
412,4390.0,91215,13550.423208711773,8526.762808381784
413,4392.0,91299,12942.235574426706,9209.05413741355
414,4394.0,91368,13877.324081421866,6582.785163315331
415,4398.0,91789,14374.668016265816,9999.999998107201
416,4400.0,91859,9135.363900940278,8165.970163089056
417,4402.0,91942,14245.509856767783,9979.861091422363
418,4404.0,92011,11141.791860187748,7685.214574555977
419,4406.0,92095,13807.655357002555,9999.999997991195
420,4408.0,92164,14870.478131621936,9999.999939184625
421,4410.0,92247,12708.690889109013,5472.5816941635585
422,4412.0,92316,15466.017649331898,9999.999999999998
423,4414.0,92397,14741.967959987673,9999.999999999294
424,4418.0,92554,9974.288046779411,9998.58577551212
425,4420.0,92628,13824.821846653196,9999.99999947225
426,4422.0,92709,12184.806560015939,9999.999992515443
427,4424.0,92778,14592.443758869715,9999.999973535012
428,4426.0,92859,14582.269825294414,9999.999999999998
429,4428.0,92941,15068.114492928169,9462.44630211085
430,4430.0,93011,15648.107907320855,9999.999999781749
431,4432.0,93090,10135.387286105399,9549.997171314171
432,4434.0,93163,14256.324038356192,8450.071304633484
433,4438.0,93586,11874.347842588742,9999.999994719536
434,4440.0,93679,13023.499761150446,9999.999999999998
435,4442.0,93748,12897.54062397467,9999.999990211598
436,4444.0,93829,12554.744541304794,7364.349382718516
437,4446.0,93900,14652.736933445005,8989.75813999819
438,4448.0,93983,14654.149320390057,9710.17100162522
439,4450.0,94060,13690.737051437478,7007.238196223381
440,4452.0,94144,11650.467537989814,9999.999998921441
441,4454.0,94233,15653.656734682438,9999.999999999998
442,4458.0,94400,14818.58966786013,8773.777804698606
443,4460.0,94476,10961.967403766006,9866.90830787512
444,4462.0,94565,15216.917641320231,9999.999999999998
445,4464.0,94639,13488.912787854224,9999.99999999788
446,4466.0,94724,13697.139989608335,9999.999999998741
447,4468.0,94798,14692.924582833019,9999.999946920812
448,4470.0,94887,11509.676616658866,7659.614471079765
449,4472.0,94961,16296.924908442381,8855.662636138384
450,4474.0,95046,12823.355824931079,7218.029775333287
451,4478.0,95485,15879.84248763253,9363.419618128943
452,4480.0,95559,14118.37267249306,9570.883695521912
453,4482.0,95647,17945.60274782098,9999.999999999998
454,4484.0,95731,12997.285885924553,9132.351252693185
455,4486.0,95804,15955.031682009347,7538.868213654448
456,4488.0,95892,8949.972345574884,9134.76959867185
457,4490.0,95965,16991.398230088787,9999.999999987573
458,4492.0,96054,10712.73300623644,9308.723475062898
459,4494.0,96128,13752.387645302475,9483.819245579618
460,4498.0,96299,14511.941286020021,9999.999999999998
461,4500.0,96386,14803.567307744337,9999.999999999847
462,4502.0,96460,13927.579509499692,9999.999999998186
463,4504.0,96545,18385.238258885256,9436.87049702175
464,4506.0,96624,12525.662842517437,9999.99999011344
465,4510.0,97075,18436.123902345567,9999.99998834975
466,4512.0,97149,13034.977076462852,8648.11806164681
467,4514.0,97234,22395.761967221315,9980.306769273939
468,4516.0,97312,13874.524118972127,9999.999999694423
469,4518.0,97396,23877.24349005652,9999.999999582446
470,4520.0,97470,10278.962186323342,9999.999997963925
471,4522.0,97555,22879.285162466887,9999.99999999987
472,4524.0,97633,12024.334910334957,9360.894554126238
473,4526.0,97717,18475.983098659268,9999.999999847214
474,4530.0,97882,17095.68762238371,9858.41755846723
475,4532.0,97962,16350.643977361737,8929.916637748096
476,4534.0,98051,16298.739896764293,9999.99999995287
477,4536.0,98125,20181.084507999873,9999.999999216358
478,4538.0,98209,13679.234008084319,8992.604397694993
479,4540.0,98283,22462.284217325097,9999.999999999942
480,4542.0,98372,13707.334466138194,9999.567496484651
481,4544.0,98457,22341.445896974667,9563.650825049568
482,4546.0,98531,11964.745519890217,9073.260037036192
483,4550.0,98982,22763.38997310601,9999.999999030562
484,4552.0,99071,14285.98826210746,9999.999999998443
485,4554.0,99145,23642.828105588647,9999.999990066386
486,4556.0,99230,11420.12380747387,9999.999990226324
487,4558.0,99304,21494.947440326876,9954.506935259738
488,4560.0,99393,11677.37173741685,9999.999999428297
489,4562.0,99467,20224.438763536586,9999.999999999989
490,4564.0,99552,14786.488189685653,9999.999973376569
491,4566.0,99626,18273.958059652792,9999.999936349552
492,4570.0,99805,17794.217948768117,9999.999983176129
493,4572.0,99885,20492.49703682878,9999.9999999859
494,4574.0,99968,17080.84390463369,9999.999999846123
495,4576.0,100042,24079.958133842476,9404.293209707916
496,4578.0,100131,15849.147563242715,9999.999999999995
497,4580.0,100205,25515.21636383052,9999.999999960079
498,4582.0,100290,13291.423695721242,9999.999997715331
499,4584.0,100368,25359.37773215881,9999.99999992432
500,4586.0,100453,12060.34646335251,9818.623295585548
501,4590.0,100893,26183.76137083682,9999.738862491782
502,4592.0,100967,13490.951780913792,9999.999992651112
503,4594.0,101052,24419.123768911133,9999.999997854251
504,4596.0,101141,14153.193001275893,9849.544418500003
505,4598.0,101215,22441.028678582992,9073.961297528624
506,4600.0,101299,18966.287748825172,9985.394958340652
507,4602.0,101373,19326.92335574114,9989.551677397587
508,4604.0,101462,22843.054639420923,9999.999999999998
509,4606.0,101536,17511.405027765293,8665.412270733366
510,4610.0,101701,16358.093611066304,9862.942752807938
511,4612.0,101796,26883.7621554964,8663.141604046876
512,4614.0,101869,16143.061998587134,9999.999999882031
513,4616.0,101953,30503.26458406198,9999.999987174668
514,4618.0,102027,14095.056231323995,9999.960579022401
515,4620.0,102116,29062.589159402556,8582.72093208597
516,4622.0,102190,15789.154371508446,9999.999998894957
517,4624.0,102275,28088.988525289955,9999.99999996435
518,4626.0,102350,19316.79105129415,9638.750830948171
519,4630.0,102801,31012.768176458496,9999.968665291713
520,4632.0,102879,19050.681358032387,9999.99999929393
521,4634.0,102964,28167.56968404296,9999.999995215763
522,4636.0,103038,24269.331253735854,9577.415033024177
523,4638.0,103128,26327.66343893104,9999.999998964327
524,4640.0,103202,27560.104642135633,7997.36632628737
525,4642.0,103287,23016.533126237733,9999.999998251858
526,4644.0,103361,28267.469077439637,5431.8288774531375
527,4646.0,103449,20518.799412957047,9999.999995106356
528,4650.0,103615,19290.42420171351,9552.100755137773
529,4652.0,103691,31952.79547829311,6883.143875274578
530,4654.0,103778,17695.72659324418,9711.532953696691
531,4656.0,103866,31161.148584638537,6247.251971002058
532,4658.0,103940,18383.837924240772,9317.444896929588
533,4660.0,104025,33672.00825544377,8589.156326497201
534,4662.0,104099,21088.13597287383,6805.728056313721
